CustomerKey,SalesQuantity,UnitPrice,Education,Gender,MaritalStatus,YearlyIncome,Occupation,SalesAmount,Sum of DiscountAmount,Age
5186,38,498.0,Bachelors,M,S,60000,Professional,16844,2079,39
5685,38,486.5,Bachelors,M,M,60000,Professional,16407,2080,39
6052,38,467.7,Bachelors,F,M,60000,Professional,15692,2080,33
6067,38,492.4,Bachelors,F,M,60000,Professional,16504,2206,39
6073,38,498.8,Bachelors,F,M,60000,Professional,16688,2267,40
6074,38,497.4,Bachelors,M,M,60000,Professional,16639,2262,40
6075,38,497.4,Bachelors,M,M,60000,Professional,16639,2262,39
6076,38,497.4,Bachelors,F,M,60000,Professional,16639,2262,40
6077,38,497.4,Bachelors,M,M,60000,Professional,16639,2262,41
6228,38,492.3,Bachelors,F,M,60000,Professional,16486,2221,28
6229,38,493.0,Bachelors,F,S,60000,Professional,16508,2225,29
6280,38,469.6,Bachelors,F,M,60000,Professional,15787,2057,33
6282,38,462.9,Bachelors,M,S,60000,Professional,15535,2055,36
6284,38,461.9,Bachelors,M,S,60000,Professional,15503,2051,36
6285,38,457.7,Bachelors,M,S,60000,Professional,15359,2035,35
6286,38,461.4,Bachelors,M,M,60000,Professional,15473,2060,33
6297,38,490.6,Bachelors,F,S,60000,Professional,16503,2141,39
6302,38,495.1,Bachelors,M,S,60000,Professional,16603,2211,40
6304,38,505.0,Bachelors,M,M,60000,Professional,16978,2211,40
6306,38,508.9,Bachelors,M,M,60000,Professional,17098,2241,40
6307,38,504.6,Bachelors,M,S,60000,Professional,16895,2279,40
6309,38,493.8,Bachelors,F,M,60000,Professional,16567,2198,39
6310,38,493.8,Bachelors,F,S,60000,Professional,16567,2198,39
7234,38,357.7,Bachelors,F,S,60000,Professional,12917,645,46
8548,38,393.0,Bachelors,F,M,60000,Professional,14262,673,45
8550,38,383.2,Bachelors,M,M,60000,Professional,13914,649,45
8551,38,388.5,Bachelors,M,M,60000,Professional,14104,659,45
9209,38,404.5,Bachelors,M,M,60000,Professional,14461,910,44
9210,38,410.6,Bachelors,F,M,60000,Professional,14681,922,44
10163,38,376.1,Bachelors,F,S,60000,Professional,13486,806,46
11898,38,412.5,Bachelors,F,M,60000,Professional,14960,717,45
11899,38,419.1,Bachelors,F,M,60000,Professional,15208,719,45
11900,38,415.3,Bachelors,M,M,60000,Professional,15062,719,45
11902,38,436.9,Bachelors,F,S,60000,Professional,15862,739,44
651,38,378.9,Graduate Degree,M,M,60000,Professional,13921,1141,34
2890,38,384.1,Graduate Degree,M,S,60000,Professional,13753,1201,37
3592,38,375.0,Graduate Degree,M,S,60000,Professional,12815,1148,35
4302,38,405.1,Graduate Degree,F,S,60000,Professional,14336,1195,31
4488,38,379.1,Graduate Degree,M,S,60000,Professional,13318,1024,34
4499,38,392.2,Graduate Degree,F,M,60000,Professional,12663,1061,33
4554,38,360.2,Graduate Degree,M,S,60000,Professional,12777,952,36
5072,38,378.5,Graduate Degree,F,M,60000,Professional,12140,803,33
5098,38,359.9,Graduate Degree,F,S,60000,Professional,11887,709,34
5965,38,374.2,Graduate Degree,M,M,60000,Professional,13324,692,34
5978,38,368.4,Graduate Degree,M,S,60000,Professional,13461,681,37
6570,38,370.2,Graduate Degree,F,S,60000,Professional,13344,695,33
6601,38,368.0,Graduate Degree,M,S,60000,Professional,13463,712,38
6871,38,383.7,Graduate Degree,F,S,60000,Professional,13930,651,37
7560,38,381.2,Graduate Degree,M,M,60000,Professional,13857,712,33
7572,38,356.4,Graduate Degree,M,S,60000,Professional,12863,679,37
7581,38,379.6,Graduate Degree,F,M,60000,Professional,13782,723,34
7597,38,386.0,Graduate Degree,F,S,60000,Professional,13950,720,39
7598,38,411.4,Graduate Degree,F,M,60000,Professional,14768,789,39
7618,38,349.8,Graduate Degree,M,S,60000,Professional,12958,668,40
8117,38,415.4,Graduate Degree,M,S,60000,Professional,15045,739,34
8119,38,417.2,Graduate Degree,M,M,60000,Professional,15116,739,32
8121,38,419.1,Graduate Degree,M,M,60000,Professional,15186,740,33
8124,38,401.9,Graduate Degree,F,M,60000,Professional,14570,703,34
8125,38,384.3,Graduate Degree,M,M,60000,Professional,13917,687,35
8127,38,384.8,Graduate Degree,M,M,60000,Professional,13942,682,34
8136,38,387.1,Graduate Degree,M,M,60000,Professional,14002,708,37
8137,38,389.7,Graduate Degree,M,M,60000,Professional,14102,708,37
8139,38,415.2,Graduate Degree,M,M,60000,Professional,15051,727,38
8140,38,403.1,Graduate Degree,M,M,60000,Professional,14617,703,37
8402,38,369.1,Graduate Degree,M,S,60000,Professional,13326,699,36
8403,38,382.9,Graduate Degree,M,S,60000,Professional,13821,728,36
8530,38,383.6,Graduate Degree,F,S,60000,Professional,13900,677,36
8531,38,381.8,Graduate Degree,F,S,60000,Professional,13831,677,36
8532,38,381.8,Graduate Degree,M,S,60000,Professional,13830,677,36
8533,38,367.3,Graduate Degree,F,S,60000,Professional,13306,649,36
8534,38,369.8,Graduate Degree,F,S,60000,Professional,13398,654,36
8982,38,352.7,Graduate Degree,F,M,60000,Professional,12587,814,31
8989,38,358.8,Graduate Degree,M,M,60000,Professional,12825,811,31
8994,38,388.6,Graduate Degree,M,M,60000,Professional,13931,836,34
9001,38,402.1,Graduate Degree,M,M,60000,Professional,14460,820,32
9002,38,388.3,Graduate Degree,F,S,60000,Professional,13960,794,33
9009,38,391.0,Graduate Degree,M,M,60000,Professional,14029,827,38
9010,38,390.4,Graduate Degree,M,S,60000,Professional,14009,827,37
9024,38,389.4,Graduate Degree,M,S,60000,Professional,13858,938,37
9192,38,427.6,Graduate Degree,M,S,60000,Professional,15317,933,36
9193,38,424.7,Graduate Degree,F,S,60000,Professional,15208,932,36
9648,38,405.5,Graduate Degree,M,M,60000,Professional,14653,757,32
9657,38,372.0,Graduate Degree,M,M,60000,Professional,13416,720,32
9661,38,371.3,Graduate Degree,F,M,60000,Professional,13395,715,35
9662,38,378.8,Graduate Degree,F,M,60000,Professional,13650,743,35
9671,38,409.4,Graduate Degree,F,M,60000,Professional,14773,782,32
9692,38,397.2,Graduate Degree,M,M,60000,Professional,14286,806,38
9694,38,377.7,Graduate Degree,M,S,60000,Professional,13549,802,39
10151,38,376.1,Graduate Degree,F,S,60000,Professional,13566,726,37
10152,38,379.6,Graduate Degree,M,S,60000,Professional,13722,703,37
10153,38,377.7,Graduate Degree,F,S,60000,Professional,13656,695,37
10154,38,377.7,Graduate Degree,M,M,60000,Professional,13656,695,37
10599,38,401.1,Graduate Degree,F,M,60000,Professional,14429,811,35
10600,38,408.0,Graduate Degree,F,M,60000,Professional,14679,826,35
10606,38,420.0,Graduate Degree,F,M,60000,Professional,15114,845,34
10608,38,416.4,Graduate Degree,M,M,60000,Professional,14977,844,34
10617,38,391.4,Graduate Degree,M,M,60000,Professional,14023,849,37
10621,38,371.4,Graduate Degree,F,M,60000,Professional,13342,771,34
10622,38,372.5,Graduate Degree,M,M,60000,Professional,13385,771,34
10927,38,410.4,Graduate Degree,F,S,60000,Professional,14713,881,37
10928,38,411.0,Graduate Degree,F,S,60000,Professional,14737,881,37
10929,38,401.9,Graduate Degree,M,S,60000,Professional,14403,868,37
10931,38,404.8,Graduate Degree,F,S,60000,Professional,14569,814,37
11236,38,360.3,Graduate Degree,M,M,60000,Professional,13114,576,32
11244,38,367.6,Graduate Degree,F,M,60000,Professional,13320,648,34
11252,38,406.8,Graduate Degree,F,M,60000,Professional,14754,704,31
11254,38,399.7,Graduate Degree,F,M,60000,Professional,14480,709,34
11265,38,406.8,Graduate Degree,F,S,60000,Professional,14765,692,37
11269,38,424.2,Graduate Degree,F,S,60000,Professional,15397,724,32
11282,38,410.1,Graduate Degree,F,M,60000,Professional,14886,696,38
11886,38,384.3,Graduate Degree,M,S,60000,Professional,13922,683,36
11887,38,385.5,Graduate Degree,F,S,60000,Professional,13964,685,36
208,38,388.8,Partial College,F,S,60000,Professional,13681,1214,55
2235,38,373.1,Partial College,M,S,60000,Professional,13538,1159,55
3285,38,347.8,Partial College,M,S,60000,Professional,12233,1056,28
3399,38,437.8,Partial College,M,M,60000,Professional,15459,1232,55
4192,38,374.3,High School,M,S,60000,Professional,13393,1026,28
4199,38,390.9,High School,F,M,60000,Professional,12857,1078,46
4326,38,362.4,Partial College,M,M,60000,Professional,12633,1095,54
4337,38,361.5,Partial College,M,M,60000,Professional,12962,1121,54
4339,38,371.6,Partial College,F,M,60000,Professional,12826,1124,52
4908,38,390.2,Partial College,M,M,60000,Professional,14383,844,53
5671,38,375.7,Partial College,F,S,60000,Professional,13572,785,29
5672,38,375.7,Partial College,F,S,60000,Professional,13850,785,30
5673,38,381.0,Partial College,F,S,60000,Professional,14038,796,29
5798,38,368.8,Partial College,M,M,60000,Professional,13683,766,55
5807,38,359.2,Partial College,M,M,60000,Professional,13367,768,54
6151,38,403.5,Partial College,M,M,60000,Professional,14690,693,54
6162,38,395.6,Partial College,F,S,60000,Professional,14431,750,53
6170,38,364.5,Partial College,F,M,60000,Professional,12962,675,52
6439,38,393.8,High School,M,M,60000,Professional,14549,774,49
6528,38,375.4,High School,F,S,60000,Professional,13864,712,47
6531,38,366.7,High School,M,M,60000,Professional,13338,717,48
7085,38,389.8,Partial College,F,S,60000,Professional,14264,674,56
7094,38,395.7,Partial College,F,S,60000,Professional,14268,693,54
7106,38,352.5,Partial College,F,M,60000,Professional,12795,632,52
7108,38,360.9,Partial College,F,M,60000,Professional,13157,623,53
7109,38,368.4,Partial College,M,M,60000,Professional,13427,656,53
7110,38,363.0,Partial College,M,S,60000,Professional,12941,645,52
7120,38,416.7,High School,M,M,60000,Professional,15474,753,52
7122,38,400.6,High School,F,M,60000,Professional,14630,717,52
7408,38,400.2,High School,F,M,60000,Professional,14593,705,48
7409,38,389.4,High School,M,S,60000,Professional,14141,655,49
7412,38,398.0,High School,M,M,60000,Professional,14759,702,48
7425,38,391.6,High School,M,S,60000,Professional,14191,689,49
7426,38,407.2,High School,M,M,60000,Professional,14296,739,50
7503,38,434.0,High School,F,M,60000,Professional,15316,765,30
7506,38,428.8,High School,F,M,60000,Professional,15603,761,47
7508,38,428.0,High School,M,M,60000,Professional,14996,807,47
7510,38,411.6,High School,M,M,60000,Professional,15033,803,47
7834,38,391.3,High School,F,M,60000,Professional,13767,604,49
7935,38,415.3,Partial College,M,S,60000,Professional,15106,627,30
8703,38,398.5,High School,M,M,60000,Professional,14348,794,48
8805,38,394.6,Partial College,M,S,60000,Professional,14131,865,30
8806,38,407.0,Partial College,F,S,60000,Professional,14578,888,29
8807,38,405.9,Partial College,F,S,60000,Professional,14558,868,30
8812,38,405.4,High School,M,M,60000,Professional,14533,872,47
8818,38,407.6,High School,F,S,60000,Professional,14567,920,47
8819,38,395.3,High School,F,M,60000,Professional,14124,897,48
8820,38,395.4,High School,M,M,60000,Professional,14127,897,48
8821,38,395.9,High School,F,M,60000,Professional,14146,898,47
9351,38,425.2,High School,F,M,60000,Professional,15346,813,47
9442,38,421.0,Partial College,F,M,60000,Professional,15132,867,31
9444,38,405.8,Partial College,M,S,60000,Professional,14554,867,28
9450,38,405.3,Partial College,F,S,60000,Professional,14538,863,28
9458,38,405.8,Partial College,F,M,60000,Professional,14555,865,29
9460,38,385.7,High School,F,M,60000,Professional,13897,758,30
9464,38,374.6,High School,F,M,60000,Professional,13478,757,47
10304,38,425.6,High School,F,M,60000,Professional,15311,861,49
10306,38,445.7,High School,M,M,60000,Professional,16054,881,48
10307,38,438.5,High School,M,S,60000,Professional,15801,864,49
10402,38,377.4,Partial College,M,S,60000,Professional,13557,786,31
10414,38,385.8,Partial College,M,M,60000,Professional,13809,852,29
10416,38,391.9,Partial College,F,S,60000,Professional,14018,874,30
10418,38,397.3,Partial College,F,S,60000,Professional,14215,882,30
10422,38,401.0,High School,F,M,60000,Professional,14350,887,47
10425,38,399.8,High School,F,M,60000,Professional,14297,894,48
10426,38,399.8,High School,M,M,60000,Professional,14297,894,48
11192,38,392.2,Partial College,M,S,60000,Professional,14258,646,27
11193,38,390.3,Partial College,M,S,60000,Professional,14185,646,27
11212,38,390.3,Partial College,M,M,60000,Professional,14185,646,29
11219,38,391.1,High School,M,M,60000,Professional,14224,639,47
11220,38,390.9,High School,F,M,60000,Professional,14210,643,47
11221,38,388.8,High School,M,M,60000,Professional,14140,633,47
11228,38,380.2,High School,F,M,60000,Professional,13825,624,47
11229,38,376.0,High School,F,M,60000,Professional,13694,595,48
11230,38,380.5,High School,M,M,60000,Professional,13870,588,48
86,40,329.1,High School,F,S,60000,Professional,12272,890,47
294,40,351.1,High School,M,S,60000,Professional,12902,1141,48
295,40,367.1,High School,M,M,60000,Professional,13594,1191,49
701,40,369.0,Bachelors,M,S,60000,Professional,12547,1143,40
705,40,357.4,Bachelors,M,S,60000,Professional,13208,1088,36
707,40,363.0,Bachelors,M,M,60000,Professional,13466,1124,40
744,40,379.2,Bachelors,M,M,60000,Professional,14131,1199,44
745,40,379.2,Bachelors,F,M,60000,Professional,14074,1199,45
747,40,363.9,Bachelors,M,S,60000,Professional,13407,1147,45
875,40,355.9,Bachelors,M,S,60000,Professional,13106,1131,37
887,40,363.1,Bachelors,F,M,60000,Professional,13448,1153,44
889,40,364.9,Bachelors,M,M,60000,Professional,13520,1157,45
890,40,351.4,Bachelors,M,S,60000,Professional,12944,1111,45
976,40,354.4,High School,F,S,60000,Professional,13009,1168,30
983,40,356.9,High School,F,S,60000,Professional,13103,1173,47
1121,40,379.0,High School,M,M,60000,Professional,13991,1264,50
1176,40,349.0,High School,M,S,60000,Professional,12832,1126,49
1177,40,348.7,High School,M,S,60000,Professional,12824,1126,48
1953,40,349.2,Bachelors,F,S,60000,Professional,12867,1101,36
2095,40,355.1,High School,M,M,60000,Professional,13313,1114,47
2096,40,354.6,High School,M,S,60000,Professional,13087,1096,46
2099,40,360.1,High School,M,M,60000,Professional,12201,1125,46
2302,40,377.7,High School,F,S,60000,Professional,13962,1145,49
2303,40,384.9,High School,M,S,60000,Professional,14234,1161,48
2318,40,376.1,High School,M,S,60000,Professional,13917,1126,50
2459,40,372.1,High School,F,M,60000,Professional,14032,1204,48
2460,40,374.5,High School,M,M,60000,Professional,13990,1204,49
2922,40,411.6,Bachelors,M,M,60000,Professional,15238,1225,41
2923,40,416.4,Bachelors,M,M,60000,Professional,15423,1235,41
3043,40,359.1,High School,F,M,60000,Professional,13232,1132,47
3297,40,371.0,High School,M,M,60000,Professional,13715,1124,46
3417,40,368.2,High School,F,M,60000,Professional,13667,1063,51
3419,40,380.4,High School,F,M,60000,Professional,14130,1087,51
3476,40,380.0,High School,F,M,60000,Professional,14034,1165,48
3477,40,380.6,High School,M,M,60000,Professional,14058,1166,49
3613,40,379.7,Bachelors,M,M,60000,Professional,14047,1141,41
3614,40,368.6,Bachelors,M,M,60000,Professional,13625,1119,38
3661,40,403.1,Bachelors,F,M,60000,Professional,14974,1148,44
3662,40,390.2,Bachelors,F,M,60000,Professional,14487,1122,45
3663,40,388.7,Bachelors,M,M,60000,Professional,14429,1120,44
4348,40,382.9,High School,F,M,60000,Professional,14227,1090,50
4391,40,374.9,High School,M,M,60000,Professional,13953,1043,49
4529,40,391.6,Bachelors,M,M,60000,Professional,14548,1117,40
4530,40,391.6,Bachelors,M,M,60000,Professional,14548,1117,40
4531,40,391.6,Bachelors,F,S,60000,Professional,14548,1117,41
4532,40,392.7,Bachelors,M,M,60000,Professional,14589,1119,40
4533,40,373.9,Bachelors,M,S,60000,Professional,13922,1033,40
4560,40,360.7,Bachelors,M,M,60000,Professional,13451,977,44
4561,40,360.7,Bachelors,F,M,60000,Professional,13451,977,44
4562,40,364.1,Bachelors,M,S,60000,Professional,13570,995,44
4563,40,357.1,Bachelors,F,S,60000,Professional,13301,982,44
4564,40,369.8,Bachelors,M,M,60000,Professional,13754,1036,45
4573,40,375.7,Bachelors,F,M,60000,Professional,13996,1030,46
4775,40,377.0,High School,F,M,60000,Professional,14057,1025,46
4776,40,379.2,High School,F,M,60000,Professional,14140,1029,47
4777,40,378.3,High School,M,M,60000,Professional,14137,994,46
4778,40,372.8,High School,F,M,60000,Professional,13929,983,46
4913,40,395.4,High School,F,S,60000,Professional,14971,845,51
4967,40,413.4,High School,F,M,60000,Professional,15662,872,49
5150,40,370.6,Bachelors,M,S,60000,Professional,14011,812,45
5151,40,368.0,Bachelors,F,M,60000,Professional,13899,821,46
5152,40,368.6,Bachelors,F,M,60000,Professional,13923,822,46
5805,40,355.5,High School,M,M,60000,Professional,13461,760,53
5806,40,355.5,High School,M,S,60000,Professional,13460,760,53
5885,40,356.0,High School,M,M,60000,Professional,13477,762,49
6033,40,392.6,Bachelors,F,M,60000,Professional,14963,742,45
6034,40,392.6,Bachelors,M,S,60000,Professional,14963,742,44
6036,40,377.8,Bachelors,M,M,60000,Professional,14418,695,44
6040,40,375.8,Bachelors,F,M,60000,Professional,14367,666,45
6041,40,380.8,Bachelors,M,M,60000,Professional,14566,666,45
6042,40,378.4,Bachelors,M,M,60000,Professional,14475,661,45
6044,40,367.8,Bachelors,F,M,60000,Professional,14073,641,45
6167,40,380.3,High School,M,M,60000,Professional,14504,707,53
6168,40,380.5,High School,M,M,60000,Professional,14513,708,52
6169,40,365.0,High School,F,S,60000,Professional,13922,676,52
6270,40,383.6,Bachelors,M,S,60000,Professional,14617,726,45
6271,40,363.9,Bachelors,M,S,60000,Professional,13869,686,45
6437,40,405.2,High School,M,M,60000,Professional,15392,816,49
6438,40,390.2,High School,F,M,60000,Professional,14842,767,48
6522,40,389.3,High School,F,M,60000,Professional,14812,761,30
68,40,330.8,Partial College,M,S,60000,Professional,12342,890,28
217,40,401.1,Partial College,F,S,60000,Professional,13667,1259,52
227,40,362.3,Partial College,F,M,60000,Professional,13146,1138,52
963,40,356.8,Partial College,F,S,60000,Professional,13161,1111,28
973,40,370.4,Partial College,F,M,60000,Professional,13781,1226,30
974,40,351.8,Partial College,F,S,60000,Professional,12908,1162,29
975,40,351.8,Partial College,M,S,60000,Professional,12908,1162,30
1099,40,395.1,Partial College,F,S,60000,Professional,14802,1293,54
1109,40,388.5,Partial College,M,M,60000,Professional,14514,1264,52
1112,40,382.1,Partial College,F,M,60000,Professional,13915,1269,54
1118,40,375.7,Partial College,M,M,60000,Professional,14025,1245,53
1120,40,382.0,Partial College,M,M,60000,Professional,13948,1258,52
2087,40,351.6,Partial College,M,S,60000,Professional,12986,1077,28
2088,40,353.5,Partial College,M,S,60000,Professional,13049,1093,28
2089,40,353.5,Partial College,F,S,60000,Professional,13049,1093,28
2237,40,372.7,Partial College,M,M,60000,Professional,14064,1154,56
2246,40,342.1,Partial College,M,M,60000,Professional,12625,1097,53
2371,40,351.0,Partial College,M,M,60000,Professional,13226,1100,56
2373,40,361.4,Partial College,M,M,60000,Professional,13431,1121,55
2376,40,365.6,Partial College,M,M,60000,Professional,13750,1130,56
2377,40,365.2,Partial College,M,M,60000,Professional,12407,1128,56
2385,40,368.3,Partial College,M,S,60000,Professional,13930,1162,52
2387,40,375.5,Partial College,M,M,60000,Professional,14053,1209,54
2388,40,374.1,Partial College,F,M,60000,Professional,13948,1208,54
2398,40,357.6,Partial College,M,M,60000,Professional,13089,1181,53
2399,40,366.6,Partial College,M,M,60000,Professional,13577,1166,53
2400,40,359.4,Partial College,M,M,60000,Professional,13494,1156,53
3037,40,393.9,Partial College,F,M,60000,Professional,14573,1181,28
3038,40,393.9,Partial College,F,M,60000,Professional,14573,1181,28
3275,40,374.8,Partial College,M,M,60000,Professional,13879,1114,27
3397,40,439.8,Partial College,F,S,60000,Professional,16339,1253,56
3398,40,443.3,Partial College,F,S,60000,Professional,16478,1254,56
3402,40,420.1,Partial College,M,M,60000,Professional,15588,1216,54
3403,40,417.9,Partial College,F,S,60000,Professional,15514,1203,55
3404,40,394.1,Partial College,F,S,60000,Professional,14609,1156,55
3405,40,396.8,Partial College,F,S,60000,Professional,14709,1161,53
3406,40,388.9,Partial College,M,M,60000,Professional,14411,1145,54
3407,40,389.1,Partial College,F,M,60000,Professional,14420,1146,53
3414,40,357.4,Partial College,F,M,60000,Professional,13258,1037,52
3416,40,368.2,Partial College,M,M,60000,Professional,13667,1063,52
4327,40,369.0,Partial College,M,M,60000,Professional,13642,1119,56
4332,40,352.1,Partial College,M,M,60000,Professional,12998,1087,54
4333,40,355.8,Partial College,M,M,60000,Professional,13138,1095,55
4338,40,371.6,Partial College,F,M,60000,Professional,13740,1124,52
4340,40,373.6,Partial College,M,M,60000,Professional,13827,1117,52
4344,40,382.3,Partial College,M,M,60000,Professional,14219,1075,51
4764,40,405.6,Partial College,M,M,60000,Professional,15161,1063,29
4899,40,402.1,Partial College,M,M,60000,Professional,15220,862,55
4905,40,393.7,Partial College,F,M,60000,Professional,14895,852,53
4909,40,396.4,Partial College,M,M,60000,Professional,15012,843,52
5656,40,372.9,Partial College,F,M,60000,Professional,14116,799,28
5803,40,349.3,Partial College,M,S,60000,Professional,13210,760,54
5808,40,380.6,Partial College,F,M,60000,Professional,14412,810,53
5812,40,386.6,Partial College,M,M,60000,Professional,14620,843,52
5813,40,392.3,Partial College,F,M,60000,Professional,14836,858,52
5814,40,390.0,Partial College,M,M,60000,Professional,14742,858,53
6145,40,391.8,Partial College,M,M,60000,Professional,14974,697,55
6146,40,393.5,Partial College,F,S,60000,Professional,15039,700,56
6150,40,402.6,Partial College,M,M,60000,Professional,15411,691,54
6152,40,394.9,Partial College,F,S,60000,Professional,15083,715,55
6153,40,394.5,Partial College,M,S,60000,Professional,15067,714,55
6156,40,397.8,Partial College,M,M,60000,Professional,15164,749,55
6159,40,395.3,Partial College,M,M,60000,Professional,15061,751,53
6163,40,391.8,Partial College,F,S,60000,Professional,14940,731,53
6165,40,377.5,Partial College,M,M,60000,Professional,14403,697,54
637,40,368.3,Graduate Degree,F,S,60000,Professional,13547,1183,32
649,40,375.6,Graduate Degree,M,S,60000,Professional,13905,1117,35
654,40,367.1,Graduate Degree,F,S,60000,Professional,13584,1101,32
659,40,384.4,Graduate Degree,M,M,60000,Professional,14536,1201,34
660,40,375.0,Graduate Degree,M,S,60000,Professional,13839,1163,34
661,40,391.9,Graduate Degree,F,M,60000,Professional,14843,1216,34
662,40,389.0,Graduate Degree,M,S,60000,Professional,14323,1237,33
663,40,389.9,Graduate Degree,M,S,60000,Professional,14354,1242,33
678,40,371.7,Graduate Degree,M,S,60000,Professional,13660,1207,34
691,40,387.7,Graduate Degree,F,M,60000,Professional,14642,1164,37
728,40,345.8,Graduate Degree,M,S,60000,Professional,12784,1049,35
792,40,372.1,Graduate Degree,M,M,60000,Professional,12532,1204,34
801,40,364.2,Graduate Degree,F,M,60000,Professional,13634,1119,35
804,40,348.4,Graduate Degree,F,S,60000,Professional,12868,1069,33
828,40,366.2,Graduate Degree,F,M,60000,Professional,13592,1202,34
840,40,356.4,Graduate Degree,M,S,60000,Professional,13103,1153,37
